[Device Information]
EVM Device Name	1
Date and Time	10Nov16 22:39 (Eastern Standard Time)
Notes	
Number of Channels	1
[Channel Information]
Channel Name	CH1
Sampling Frequency	80000.000
Input Frequency	0.000
Max Code	65535.000
Max Voltage	4.500
Min Code	0.000
Min Voltage	0.000
Data Format	Decimal
[Channel Data]
	25962
	25969
	25971
	25978
	25981
	25931
	25911
	25910
	25907
	25909
	25905
	25910
	25914
	25911
	25912
	25995
	25996
	26006
	26010
	26010
	26014
	26014
	26016
	26024
	25941
	25940
	25937
	25933
	25937
	25937
	25936
	25935
	25929
	26012
	26020
	26021
	26023
	26024
	26023
	26029
	26032
	26033
	25998
	25950
	25948
	25949
	25948
	25946
	25944
	25940
	25940
	25942
	26022
	26025
	26025
	26026
	26031
	26033
	26036
	26036
	26035
	25954
	25955
	25952
	25952
	25947
	25944
	25945
	25943
	25943
	26022
	26024
	26027
	26030
	26032
	26033
	26033
	26036
	26038
	26023
	25958
	25955
	25949
	25950
	25948
	25947
	25946
	25943
	25940
	26027
	26026
	26030
	26031
	26030
	26034
	26036
	26037
	26039
	25955
	25953
	25953
	25950
	25949
	25948
	25944
	25943
	25941
	26017
	26024
	26027
	26028
	26032
	26033
	26035
	26036
	26037
	26037
	25955
	25954
	25950
	25950
	25948
	25945
	25943
	25942
	25941
	26023
	26022
	26026
	26028
	26029
	26034
	26035
	26034
	26037
	25953
	25952
	25951
	25948
	25945
	25944
	25941
	25940
	25941
	26007
	26023
	26024
	26027
	26029
	26032
	26032
	26034
	26035
	26037
	25956
	25952
	25950
	25948
	25944
	25945
	25943
	25941
	25939
	26020
	26022
	26026
	26028
	26030
	26031
	26030
	26033
	26038
	25955
	25954
	25949
	25947
	25947
	25945
	25942
	25942
	25937
	25998
	26021
	26024
	26027
	26027
	26028
	26031
	26031
	26034
	26036
	25951
	25950
	25951
	25945
	25947
	25942
	25940
	25939
	25936
	26020
	26023
	26023
	26026
	26026
	26027
	26032
	26032
	26032
	25954
	25948
	25949
	25949
	25943
	25946
	25941
	25938
	25940
	25983
	26018
	26022
	26023
	26026
	26030
	26029
	26032
	26034
	26033
	25953
	25951
	25946
	25945
	25943
	25943
	25942
	25939
	25935
	26018
	26019
	26023
	26026
	26025
	26027
	26029
	26031
	26034
	25953
	25950
	25945
	25944
	25945
	25942
	25940
	25938
	25934
	25969
	26021
	26021
	26023
	26024
	26025
	26030
	26031
	26033
	26032
	25948
	25949
	25947
	25947
	25944
	25938
	25936
	25936
	25935
	26018
	26018
	26018
	26023
	26025
	26028
	26032
	26028
	26030
	25954
	25947
	25950
	25946
	25940
	25941
	25938
	25936
	25938
	25950
	26016
	26020
	26021
	26023
	26029
	26026
	26028
	26030
	26030
	25951
	25948
	25944
	25943
	25940
	25939
	25941
	25936
	25935
