2934,3634,24745,24816
5048,5748,24394,24595
7165,7865,24096,24359
9278,9978,23598,23905
11396,12096,23660,23944
13513,14213,24445,24772
0,0,0,0
2075,2775,24151,24313
5108,5808,23404,23675
7226,7926,23231,23476
9339,10039,22883,23195
11456,12156,23027,23340
13573,14273,23859,24218
0,0,0,0
3057,3757,25288,25433
5170,5870,24720,24998
7288,7988,24639,24838
9402,10102,24522,24925
11520,12220,24940,25222
13638,14338,25426,25583
0,0,0,0
5237,5937,25537,25691
7354,8054,25294,25544
9468,10168,25026,25391
11586,12286,25349,25644
13704,14404,25517,25845
0,0,0,0
0,0,0,0
3206,3906,26218,26356
5310,6010,25889,26248
7418,8118,25206,25613
9532,10232,24629,24966
11650,12350,24764,25080
13767,14467,25315,25511
0,0,0,0
3251,3951,25423,25585
5365,6065,24660,25013
7482,8182,24670,24861
9596,10296,24714,25166
11713,12413,25212,25509
13831,14531,25342,25548
0,0,0,0
3314,4014,25513,25681
5428,6128,25568,25772
7545,8245,25858,26046
9659,10359,25343,25738
11776,12476,25254,25506
13894,14594,25537,25681
0,0,0,0
3211,3911,25162,25257
5491,6191,24935,25174
7609,8309,24994,25199
9723,10423,24787,25206
11841,12541,25100,25415
13959,14659,25516,25656
0,0,0,0
3443,4143,25174,25232
5557,6257,25007,25187
7674,8374,25310,25510
9788,10488,25336,25695
11906,12606,25492,25745
14023,14723,25741,25850
0,0,0,0
3507,4207,26176,26337
5621,6321,26325,26569
7738,8438,26774,26949
9852,10552,26606,26913
11970,12670,26525,26755
14087,14787,26733,26828
0,0,0,0
3571,4271,25675,25910
5685,6385,25128,25346
7802,8502,25081,25259
9916,10616,24675,25002
12033,12733,24502,24755
14151,14851,24695,24771
0,0,0,0
