2438,3138,24643,24707
4552,5252,24424,24608
6670,7370,24653,24818
8784,9484,24462,24806
10902,11602,24443,24684
13020,13720,24719,24826
0,0,0,0
2275,2975,24632,24704
4619,5319,24430,24612
6737,7437,24660,24826
8851,9551,24461,24807
10969,11669,24447,24690
13087,13787,24719,24827
0,0,0,0
395,1095,24633,24645
2573,3273,24639,24701
4687,5387,24431,24617
6805,7505,24660,24824
8919,9619,24457,24804
11037,11737,24446,24685
13154,13854,24715,24825
0,0,0,0
2638,3338,24638,24704
4752,5452,24429,24615
6870,7570,24660,24826
8984,9684,24458,24802
11101,11801,24442,24682
13219,13919,24711,24823
16995,17695,24624,24641
0,0,0,0
2703,3403,24646,24705
4817,5517,24435,24619
6935,7635,24657,24825
9049,9749,24461,24805
11167,11867,24439,24682
13285,13985,24714,24823
0,0,0,0
2768,3468,24636,24702
4882,5582,24434,24618
7000,7700,24658,24823
9114,9814,24453,24802
11232,11932,24441,24679
13350,14050,24714,24830
0,0,0,0
2176,2876,24629,24703
4948,5648,24433,24613
7066,7766,24655,24824
9180,9880,24454,24800
11297,11997,24437,24676
13415,14115,24716,24826
0,0,0,0
1542,2242,24630,24646
3642,4342,24629,24698
5749,6449,24443,24648
7855,8555,24630,24813
9962,10662,24407,24778
12071,12771,24406,24669
14186,14886,24633,24821
0,0,0,0
2965,3665,24645,24711
5079,5779,24437,24617
7197,7897,24656,24823
9311,10011,24461,24803
11429,12129,24447,24687
13547,14247,24722,24833
0,0,0,0
1772,2472,24630,24644
3875,4575,24629,24651
5983,6683,24594,24648
8088,8788,24628,24815
10195,10895,24404,24773
12295,12995,24410,24660
14400,15100,24633,24820
0,0,0,0
