3933,4633,23590,23633
6047,6747,23389,23569
8165,8865,23621,23782
10279,10979,23422,23759
12397,13097,23411,23627
14515,15215,23657,23784
0,0,0,0
3999,4699,23611,23655
6113,6813,23417,23590
8230,8930,23637,23796
10344,11044,23449,23786
12462,13162,23427,23640
14579,15279,23683,23806
0,0,0,0
4064,4764,23635,23684
6178,6878,23443,23613
8295,8995,23653,23808
10409,11109,23469,23789
12527,13227,23468,23672
14645,15345,23709,23826
0,0,0,0
4537,5237,23913,23936
6643,7343,23651,23865
8750,9450,23372,23739
10851,11551,22585,23181
12956,13656,22350,22584
15063,15763,22663,22892
0,0,0,0
4316,5016,22740,22805
6421,7121,22721,22972
8529,9229,23119,23328
10634,11334,22878,23314
12742,13442,23108,23425
14842,15542,23760,24009
0,0,0,0
4270,4970,22939,23186
6374,7074,22576,22884
8492,9192,23421,23806
10606,11306,23910,24455
12724,13424,24383,24625
14841,15541,24722,24881
0,0,0,0
4326,5026,23437,23544
6440,7140,23170,23361
8557,9257,23341,23523
10671,11371,23137,23531
12789,13489,23141,23365
14906,15606,23405,23575
0,0,0,0
4391,5091,23784,23836
6505,7205,23623,23813
8623,9323,23863,24039
10737,11437,23679,24043
12854,13554,23716,23941
14972,15672,24039,24187
0,0,0,0
4457,5157,24058,24094
6571,7271,23845,24036
8689,9389,24089,24264
10803,11503,23910,24269
12921,13621,23900,24119
15039,15739,24144,24291
0,0,0,0
4524,5224,24118,24153
6638,7338,23918,24114
8756,9456,24171,24344
10870,11570,23974,24335
12988,13688,23962,24174
15106,15806,24218,24368
0,0,0,0
