2731,3431,23785,23812
4844,5544,23648,23798
6962,7662,23832,23962
9076,9776,23672,23941
11194,11894,23655,23785
13312,14012,23805,23953
0,0,0,0
2796,3496,23784,23808
4910,5610,23643,23786
7027,7727,23825,23955
9141,9841,23666,23938
11259,11959,23635,23764
13377,14077,23791,23937
0,0,0,0
2861,3561,23769,23796
4975,5675,23629,23773
7093,7793,23808,23937
9206,9906,23653,23926
11324,12024,23634,23763
13442,14142,23790,23936
0,0,0,0
2926,3626,23773,23800
5040,5740,23635,23779
7157,7857,23807,23939
9271,9971,23644,23917
11388,12088,23624,23757
13506,14206,23784,23929
0,0,0,0
2989,3689,23763,23786
5103,5803,23620,23765
7220,7920,23799,23935
9334,10034,23631,23906
11452,12152,23612,23744
13569,14269,23782,23928
15779,16479,23773,23786
0,0,0,0
3062,3762,23762,23789
5167,5867,23620,23764
7284,7984,23796,23930
9397,10097,23635,23909
11515,12215,23619,23750
13632,14332,23783,23927
0,0,0,0
3117,3817,23763,23790
5222,5922,23620,23766
7349,8049,23793,23926
9463,10163,23640,23914
11580,12280,23622,23759
13698,14398,23781,23924
0,0,0,0
2963,3663,23755,23779
5295,5995,23605,23750
7412,8112,23780,23913
9526,10226,23620,23892
11643,12343,23611,23745
13761,14461,23771,23913
0,0,0,0
3245,3945,23750,23778
5358,6058,23607,23752
7476,8176,23785,23916
9590,10290,23630,23901
11707,12407,23612,23743
13825,14525,23776,23920
0,0,0,0
2299,2999,23768,23785
5422,6122,23619,23765
7540,8240,23811,23942
9654,10354,23661,23932
11771,12471,23642,23777
13889,14589,23798,23943
0,0,0,0
