1533,2233,24990,25021
3648,4348,24734,24962
5766,6466,25021,25227
7880,8580,24764,25199
9998,10698,24735,24984
12116,12816,25036,25223
0,0,0,0
1600,2300,24977,25007
3714,4414,24719,24946
5831,6531,25001,25208
7945,8645,24750,25178
10063,10763,24727,24976
12181,12881,25016,25202
0,0,0,0
1665,2365,24966,24998
3779,4479,24706,24932
5897,6597,24991,25196
8011,8711,24745,25174
10129,10829,24721,24966
12247,12947,25006,25193
0,0,0,0
1379,2079,24951,24981
3846,4546,24693,24922
5964,6664,24976,25180
8079,8779,24728,25157
10197,10897,24705,24951
12315,13015,24989,25172
0,0,0,0
1800,2500,24940,24972
3915,4615,24684,24913
6033,6733,24967,25172
8148,8848,24726,25152
10266,10966,24700,24944
12384,13084,24987,25176
0,0,0,0
1871,2571,24954,24982
3985,4685,24701,24930
6104,6804,24984,25187
8218,8918,24739,25172
10337,11037,24719,24963
12455,13155,24997,25185
0,0,0,0
1942,2642,24966,24993
4057,4757,24720,24946
6175,6875,24999,25201
8289,8989,24755,25182
10407,11107,24723,24972
12526,13226,25011,25196
0,0,0,0
2012,2712,24976,25003
4127,4827,24725,24953
6245,6945,25004,25208
8360,9060,24756,25184
10478,11178,24729,24975
12597,13297,25015,25204
0,0,0,0
1027,1727,24965,24981
4197,4897,24717,24946
6315,7015,24994,25201
8429,9129,24744,25171
10548,11248,24714,24957
12666,13366,25009,25197
0,0,0,0
2152,2852,24962,24992
4266,4966,24710,24934
6385,7085,24988,25192
8499,9199,24734,25162
10617,11317,24714,24960
12735,13435,25015,25200
0,0,0,0
