2118,2818,24524,24549
4232,4932,24288,24504
6350,7050,24553,24749
8464,9164,24314,24718
10581,11281,24283,24513
12699,13399,24546,24736
0,0,0,0
2183,2883,24509,24530
4296,4996,24268,24487
6414,7114,24537,24732
8528,9228,24288,24699
10645,11345,24259,24491
12763,13463,24534,24719
0,0,0,0
2246,2946,24491,24515
4360,5060,24248,24466
6477,7177,24518,24722
8592,9292,24269,24688
10709,11409,24241,24476
12827,13527,24521,24708
0,0,0,0
2093,2793,24413,24435
4425,5125,24138,24359
6542,7242,24376,24581
8656,9356,24074,24497
10774,11474,24022,24254
12891,13591,24292,24478
0,0,0,0
2374,3074,24743,24844
4488,5188,24722,24925
6605,7305,24874,25100
8719,9419,24384,24820
10836,11536,24133,24400
12954,13654,24306,24482
16367,17067,24190,24208
0,0,0,0
2437,3137,24230,24284
4551,5251,24101,24307
6668,7368,24438,24626
8782,9482,24302,24686
10899,11599,24380,24630
13016,13716,24754,24905
0,0,0,0
2499,3199,24824,24881
4613,5313,24558,24769
6731,7431,24777,24962
8844,9544,24510,24904
10962,11662,24446,24712
13080,13780,24707,24849
0,0,0,0
2563,3263,24483,24544
4677,5377,24205,24421
6794,7494,24452,24646
8908,9608,24188,24597
11025,11725,24147,24411
13143,13843,24432,24583
0,0,0,0
2626,3326,24332,24385
4740,5440,24082,24299
6858,7558,24359,24555
8972,9672,24120,24528
11089,11789,24095,24358
13206,13906,24393,24545
0,0,0,0
2689,3389,24308,24361
4802,5502,24039,24264
6920,7620,24302,24498
9034,9734,24052,24465
11151,11851,24015,24283
13269,13969,24301,24457
0,0,0,0
