1805,2505,26687,26774
3910,4610,26682,26866
6018,6718,26876,27046
8123,8823,26541,26864
10231,10931,26438,26641
12339,13039,26660,26774
0,0,0,0
1776,2476,26511,26548
3889,4589,26406,26595
6007,6707,26711,26878
8121,8821,26403,26768
10238,10938,26152,26390
12356,13056,26173,26354
0,0,0,0
1839,2539,25869,25902
3953,4653,25645,25823
6070,6770,25848,26014
8184,8884,25715,26084
10302,11002,25932,26214
12419,13119,26553,26792
0,0,0,0
1903,2603,26971,27010
4017,4717,26753,26925
6135,6835,26898,27068
8249,8949,26554,26907
10366,11066,26321,26565
12484,13184,26286,26516
0,0,0,0
1968,2668,25845,25868
4082,4782,25655,25819
6199,6899,25898,26053
8313,9013,25789,26092
10431,11131,25853,26050
12549,13249,26169,26309
0,0,0,0
2079,2779,26365,26412
4184,4884,26012,26221
6292,6992,26160,26329
8397,9097,26058,26401
10505,11205,26218,26455
12613,13313,26605,26728
0,0,0,0
2097,2797,26296,26346
4211,4911,26143,26332
6329,7029,26512,26709
8443,9143,26477,26829
10560,11260,26522,26728
12678,13378,26646,26822
0,0,0,0
2162,2862,25989,26041
4276,4976,25794,25977
6394,7094,26067,26232
8508,9208,25822,26166
10625,11325,25755,25972
12743,13443,26064,26207
0,0,0,0
2226,2926,26176,26221
4340,5040,26061,26234
6457,7157,26367,26523
8571,9271,26270,26576
10689,11389,26285,26486
12806,13506,26516,26639
0,0,0,0
2290,2990,26677,26722
4404,5104,26329,26555
6521,7221,26252,26502
8635,9335,25734,26129
10752,11452,25523,25751
12870,13570,25786,25923
0,0,0,0
2353,3053,25642,25717
4466,5166,25303,25508
6584,7284,25516,25689
8697,9397,25418,25777
10815,11515,25551,25795
12932,13632,25979,26132
0,0,0,0
